question	answer	source
Tôi có thể gửi túi xách, đồ dùng cá nhân ở đâu?	<div><div><p>Bạn đọc gửi túi xách, đồ dùng cá nhân tại khu vực giữ đồ, tầng hầm B1</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Khu vực học qua đêm ở đâu? Thời gian hoạt động? Đăng ký như thế nào?	<div class="views-accordion-header js-views-accordion-header-dd28e6438fc495c748f90749fa8e081b09f4ee84aa277bbe66ab3bacf7dd7ec5 ui-accordion-header ui-corner-top ui-accordion-header-collapsed ui-corner-all ui-state-default" role="tab" id="ui-id-3" aria-controls="ui-id-4" aria-selected="false" aria-expanded="false" tabindex="-1"><div><p>Khu vực học qua đêm ở đâu? Thời gian hoạt động? Đăng ký như thế nào?</p></div></div><div class="ui-accordion-content ui-corner-bottom ui-helper-reset ui-widget-content" id="ui-id-4" aria-labelledby="ui-id-3" role="tabpanel" aria-hidden="true" style="display: none;"><div><div><p>- Được bố trí tại Tầng hầm B1</p> <p>- Thời gian hoạt động : từ 19h30 đến thời gian đăng ký theo yêu cầu</p> <p>- Đăng ký trực tuyến thông qua Cổng thông tin thư viện tại mục "Đặt phòng"</p> <p><strong>(Chỉ phục vụ khi đặt từ 15 người trở lên)</strong></p> </div></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Liên hệ với ai và ở đâu để làm lại Thẻ thư viện đã bị mất?	<div><div><p>- Được bố trí tại Tầng hầm B1</p> <p>- Thời gian hoạt động : từ 19h30 đến thời gian đăng ký theo yêu cầu</p> <p>- Đăng ký trực tuyến thông qua Cổng thông tin thư viện tại mục "Đặt phòng"</p> <p><strong>(Chỉ phục vụ khi đặt từ 15 người trở lên)</strong></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Liên hệ với ai và ở đâu để được cấp Tài khoản Thư viện?	<div><div><ul><li><strong>Đối với sinh viên</strong></li> </ul><p style="padding-left: 50px">Phòng CTHS-SV, Phòng A0003 (Cơ sở Tân Phong);  Điện thoại: (028) 37 755 054; Email: <a href="mailto:phongctct-hssv@tdtu.edu.vn">phongctct-hssv@tdtu.edu.vn</a></p> <ul><li><strong>Đối với học viên sau đại học</strong></li> </ul><p style="padding-left: 50px">Phòng Sau đại học, Phòng A0305 (Cơ sở Tân Phong);  Điện thoại: (028) 37 755. 059; Email: <a href="mailto:tssdh@tdtu.edu.vn">tssdh@tdtu.edu.vn</a></p> <ul><li><strong>Đối với Giảng viên, viên chức</strong></li> </ul><p style="padding-left: 50px">Thư viện truyền cảm hứng, Tòa nha G&nbsp;(Cơ sở Tân Phong);  Điện thoại: (028) 37 755 057; Email:&nbsp;<a href="mailto:thuvien@tdtu.edu.vn">thuvien@tdtu.edu.vn</a></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Nơi mượn và trả sách cho mượn về?	<div><div><p>Bạn đọc chưa có tài khoản Cổng Thông tin sinh viên/Cổng Thông tin giảng viên, viên chức. Vui lòng liên hệ:</p> <ul><li><strong>Đối với sinh viên:</strong></li> </ul><p style="padding-left: 50px">Văn phòng Tư vấn và Hỗ trợ, Phòng E0001;  Điện thoại: (028) 22 477 215; Email: <a href="mailto:tuvanhocduong@tdtu.edu.vn">tuvanhocduong@tdtu.edu.vn</a></p> <ul><li><strong>Đối với giảng viên, viên chức:</strong></li> </ul><p style="padding-left: 50px">Phòng Điện toán – Máy tính, Phòng A0404;  Điện thoại: (028) 37 755 056; Email: <a href="mailto:phongdientoan@tdtu.edu.vn">phongdientoan@tdtu.edu.vn</a></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Tìm lại tài sản bị thất lạc thì cần liên lạc với ai? Ở đâu?	<div><div><p>Đối với sách cho mượn về, bạn đọc tự thực hiện giao dịch tại:</p> <ul type="square"><li><strong>Mượn sách</strong>: Trạm mượn sách tự động, Lầu&nbsp;1</li> <li><strong>Trả sách</strong>: Trạm trả sách tự động, Tầng trệt</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Mượn tài liệu học ngoại ngữ kèm đĩa CD/DVD hoặc mượn DVD phim ở đâu?	<div><div><p>Các vật dụng,&nbsp;tài sản bị thất lạc sẽ được lưu giữ tại Khu vực Đồ thất lạc tại Tầng hầm lửng.</p> <p>Để tìm lại tài sản bị thất lạc trong tòa nhà thư viện, vui lòng liên hệ cán bộ Thư viện tại Quầy Hỗ trợ Tầng hầm lửng.</p> <p>&nbsp;</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Nhà vệ sinh được bố trí ở đâu tại Thư viện?	<div><div><p>Tài liệu học ngoại ngữ kèm đĩa và DVD phim được phục vụ tại Tầng 2</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Vị trí của các phòng/khu vực trong dịch vụ cung cấp không gian của Thư viện?	<div><div><p>Nhà vệ sinh được bố trí tại tất cả các tầng&nbsp;từ Lầu&nbsp;1 đến Lầu&nbsp;6 (ngoại trừ khu vực hầm lửng) trong tòa nhà Thư viện.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
Các kho tài liệu in (giấy) được bố trí như thế nào trong toà nhà Thư viện?	<div><div><p><strong>Bố trí các phòng tại TVĐHTĐT:</strong></p> <ul><li>Phòng nghiên cứu cá nhân: 08 phòng , Tầng 4</li> <li>Phòng học nhóm : 03 phòng, Tầng 2</li> <li>Khu vực học nhóm: 08 cụm (Tầng 3) ; 24 cụm (Tầng 5)</li> <li>Phòng thuyết trình: 09 phòng,Tầng 3 và Tầng 5</li> <li>Phòng xem phim: 02 phòng, Tầng 2</li> <li>Phòng studio: Tầng 5</li> <li>Phòng hội thảo/hội nghị: Tầng 5</li> <li>Khu vực học qua đêm: Tầng hầm B1</li> </ul><p>Người dùng có thể tham khảo thông tin về các khu vực chức năng tại Thư viện thông qua Quick Access được đặt tại lầu 1, 2, 3 và 4.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-vi-tri
CD/DVD kèm sách và DVD phim có cho mượn về nhà không?	<div><div><p>Không. CD/DVD kèm sách và DVD phim chỉ được mượn và sử dụng tại chỗ.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Khóa luận/Đồ án/Luận văn/luận án/Đề tài nghiên cứu khoa học có cho mượn về nhà không?	<div class="views-accordion-header js-views-accordion-header-24931379757582706460abc6323a8f8c5b59becd5702381aa92fc03d9c24fb9f ui-accordion-header ui-corner-top ui-accordion-header-collapsed ui-corner-all ui-state-default" role="tab" id="ui-id-3" aria-controls="ui-id-4" aria-selected="false" aria-expanded="false" tabindex="-1"><div><p>Khóa luận/Đồ án/Luận văn/luận án/Đề tài nghiên cứu khoa học có cho mượn về nhà không?</p></div></div><div class="ui-accordion-content ui-corner-bottom ui-helper-reset ui-widget-content" id="ui-id-4" aria-labelledby="ui-id-3" role="tabpanel" aria-hidden="true" style="display: none;"><div><div><p>Không. Khóa luận/Đồ án/Luận văn/luận án/Đề tài nghiên cứu khoa học chỉ phục vụ đọc tại chỗ</p> </div></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Quy định về số lượng tài liệu và thời gian mượn tài liệu đọc tại chỗ?	<div><div><p>Không. Khóa luận/Đồ án/Luận văn/luận án/Đề tài nghiên cứu khoa học chỉ phục vụ đọc tại chỗ</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Quy định về số lượng tài liệu và thời gian cho mượn tài liệu về nhà?	<div><div><p><strong>Tài liệu đọc tại chỗ</strong></p> <p>-&nbsp;Sinh viên, sinh viên quốc tế:</p> <ul><li>Số lượng: 02 tài liệu/lượt mượn</li> <li>Thời gian mượn: 01 ngày</li> </ul><p>-&nbsp;Giảng viên, viên chức, giảng viên người nước ngoài, học viên sau đại học:</p> <ul><li>Số lượng: 03 tài liệu/lượt mượn</li> <li>Thời gian mượn: 01 ngày</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Quy định về số ngày tăng thêm khi thực hiện lệnh gia hạn tài liệu cho mượn về?	<div><div><p><strong>Tài liệu cho mượn về</strong></p> <p>-&nbsp; Sinh viên, sinh viên quốc tế:</p> <ul><li>Số lượng: 02 tài liệu/lượt mượn</li> <li>Thời gian mượn: 05 ngày</li> </ul><p>-&nbsp; Giảng viên, viên chức, giảng viên người nước ngoài, học viên sau đại học:</p> <ul><li>Số lượng: 03&nbsp;tài liệu/lượt mượn</li> <li>Thời gian mượn: 07 ngày</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Thủ tục mượn tài liệu về nhà được thực hiện như thế nào?	<div><div><h2>Gia hạn tài liệu</h2> <p><strong>Sinh viên, sinh viên quốc tế</strong></p> <ul><li>Số lần được phép gia hạn: 01 lần</li> <li>Thời gian tăng thêm: 05 ngày (tính từ ngày thực hiện lệnh gia hạn)</li> </ul><p><strong>Giảng viên, viên chức, giảng viên người nước ngoài, học viên sau đại học</strong></p> <ul><li>Số lần được phép gia hạn: 01 lần</li> <li>Thời gian tăng thêm: 07 ngày (tính từ ngày thực hiện lệnh gia hạn)</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
